arr,dep
13.666666666666666,8.2
8.5,8.2
-12.5,7.0
-0.2857142857142857,17.428571428571427
7.333333333333333,-1.0
11.666666666666666,-4.333333333333333
5.142857142857143,12.0
3.3333333333333335,4.0
-8.5,-3.5
14.0,0.0
6.333333333333333,0.0
0.0,5.2
0.0,1.1666666666666667
-14.0,0.0
-11.0,5.2
-10.333333333333334,-1.875
13.666666666666666,1.5
-4.0,0.8888888888888888
-11.666666666666666,-1.5
-13.0,5.0
-9.75,-6.0
-10.6,-2.8
-6.4,30.0
-7.666666666666667,-2.2
0.0,4.0
-7.666666666666667,-2.25
-5.714285714285714,-1.5
-9.5,18.0
-8.5,7.0
11.5,8.2
-7.75,8.666666666666666
4.0,8.5
16.666666666666668,3.0
-7.6,9.0
-28.0,7.333333333333333
6.0,8.857142857142858
-4.4,-5.0
0.0,6.0
0.16666666666666666,-3.0
-2.5,-2.0
2.5,3.5
-4.0,13.25
5.0,0.0
